date,Volume,Open,Close
2010-06-29,281494500,1.266667008,1.592666984
2010-06-30,257806500,1.719333053,1.588667035
2010-07-01,123282000,1.666666985,1.463999987
2010-07-02,77097000,1.533332944,1.279999971
2010-07-06,103003500,1.333333015,1.074000001
2010-07-07,103825500,1.093333006,1.053333044
2010-07-08,115671000,1.075999975,1.164000034
2010-07-09,60759000,1.172000051,1.159999967
2010-07-12,33037500,1.196666956,1.136667013
2010-07-13,40201500,1.159332991,1.209332943
2010-07-14,62928000,1.19599998,1.322667003
2010-07-15,56097000,1.329332948,1.325999975
2010-07-16,39319500,1.379999995,1.376000047
2010-07-19,37297500,1.424667001,1.460667014
2010-07-20,27379500,1.456666946,1.353332996
2010-07-21,18787500,1.377333045,1.34800005
2010-07-22,14367000,1.366667032,1.399999976
2010-07-23,9804000,1.412667036,1.419332981
2010-07-26,13833000,1.433333039,1.396667004
2010-07-27,9295500,1.394000053,1.370000005
2010-07-28,7008000,1.370000005,1.381332994
2010-07-29,9240000,1.384667039,1.356667042
2010-07-30,6403500,1.346667051,1.329332948
2010-08-02,10771500,1.366667032,1.394667029
2010-08-03,18457500,1.399999976,1.463333011
2010-08-04,13695000,1.463333011,1.417333007
2010-08-05,11943000,1.43599999,1.363332987
2010-08-06,11128500,1.340000033,1.305999994
2010-08-09,12190500,1.326666951,1.30666697
2010-08-10,19219500,1.309999943,1.268666983
2010-08-11,11964000,1.246000051,1.19333303
2010-08-12,10365000,1.186666965,1.173333049
2010-08-13,9510000,1.212000012,1.221333027
2010-08-16,7287000,1.230000019,1.251999974
2010-08-17,6718500,1.264000058,1.276666999
2010-08-18,9019500,1.305999994,1.251332998
2010-08-19,8686500,1.235999942,1.25266695
2010-08-20,4440000,1.243332982,1.273332953
2010-08-23,16321500,1.27266705,1.342000008
2010-08-24,10096500,1.283332944,1.279999971
2010-08-25,7549500,1.277333021,1.326666951
2010-08-26,6507000,1.325999975,1.316666961
2010-08-27,5694000,1.316666961,1.313333035
2010-08-30,10992000,1.313333035,1.324666977
2010-08-31,3016500,1.310667038,1.298666954
2010-09-01,7423500,1.307999969,1.363332987
2010-09-02,7306500,1.35800004,1.404000044
2010-09-03,6519000,1.391332984,1.403332949
2010-09-07,3651000,1.373999953,1.369333029
2010-09-08,4326000,1.377333045,1.393332958
2010-09-09,5643000,1.399999976,1.380666971
2010-09-10,5799000,1.383332968,1.344666958
